date,close,open,high,low,change
26-Jun-24,618.27,642.1,642.1,618.27,-3.65%
25-Jun-24,641.66,641.66,641.66,629.92,1.89%
24-Jun-24,629.74,629.74,629.74,614.58,2.63%
21-Jun-24,613.63,613.63,613.63,591.57,3.81%
20-Jun-24,591.13,595.39,595.39,591.13,-0.65%
19-Jun-24,594.99,595,595,594.99,0.06%
18-Jun-24,594.62,607.93,607.93,594.62,-2.17%
17-Jun-24,607.83,607.83,607.83,607.38,0.31%
14-Jun-24,605.98,605.98,605.98,549.22,5.82%
13-Jun-24,572.65,584.95,584.95,572.65,4.23%
12-Jun-24,549.4,563.29,563.29,549.4,-2.43%
11-Jun-24,563.09,582.11,582.11,563.09,-3.26%
10-Jun-24,582.06,582.06,582.06,565.81,3.07%
7-Jun-24,564.73,564.73,564.73,556.24,1.61%
6-Jun-24,555.8,555.8,555.8,554.42,0.30%
5-Jun-24,554.13,554.69,554.69,554.13,-0.07%
4-Jun-24,554.5,558.55,558.55,554.5,-0.67%
3-Jun-24,558.23,589.1,589.1,558.23,-5.13%
31-May-24,588.41,588.41,588.41,570.3,-0.04%
30-May-24,588.66,588.66,588.66,570.36,4.29%
29-May-24,564.44,564.44,564.44,564.2,0.10%
28-May-24,563.89,563.89,563.89,563.29,0.16%
27-May-24,563,563.02,563.02,563,0.14%
24-May-24,562.24,562.24,562.24,562.1,0.05%
23-May-24,561.94,561.94,561.94,533.4,5.40%
22-May-24,533.16,533.16,533.16,532.77,0.08%
21-May-24,532.76,536.85,536.85,532.76,1.35%
20-May-24,525.66,533.12,533.12,525.66,-1.24%
17-May-24,532.28,532.28,532.28,531.73,0.12%
16-May-24,531.66,545.3,545.3,531.66,-2.50%
15-May-24,545.3,545.3,545.3,499.55,-3.12%
14-May-24,562.88,590.81,590.81,562.88,-4.68%
13-May-24,590.53,590.66,590.66,590.53,0.12%
10-May-24,589.84,597.45,597.45,589.84,-1.21%
9-May-24,597.04,613.86,613.86,597.04,-2.68%
8-May-24,613.46,613.46,613.46,581.01,5.63%
7-May-24,580.74,602.8,602.8,580.74,-3.61%
6-May-24,602.46,602.48,602.48,602.46,0.16%
3-May-24,601.48,635.85,635.85,601.48,-5.37%
2-May-24,635.63,662.31,662.31,635.63,-3.99%
1-May-24,662.03,662.03,662.03,645.75,2.50%
30-Apr-24,645.86,645.86,645.86,627.9,2.88%
29-Apr-24,627.75,653.61,653.61,627.75,-3.81%
26-Apr-24,652.62,664.84,664.84,652.62,-1.80%
25-Apr-24,664.56,664.56,664.56,638.11,4.15%
24-Apr-24,638.11,638.11,638.11,604.46,5.64%
23-Apr-24,604.04,641.08,641.08,604.04,-5.75%
22-Apr-24,640.86,695.76,695.76,640.86,-7.67%
19-Apr-24,694.07,694.07,694.07,693.29,0.01%
18-Apr-24,694.02,694.02,694.02,683.92,1.47%
17-Apr-24,683.95,693.86,693.86,683.95,-1.39%
16-Apr-24,693.57,693.57,693.57,683.91,1.42%
15-Apr-24,683.88,683.88,683.88,589.57,16.26%
12-Apr-24,588.24,588.24,588.24,580.91,1.30%
11-Apr-24,580.71,580.71,580.71,556.53,4.35%
10-Apr-24,556.52,556.52,556.52,553.63,0.51%
9-Apr-24,553.67,562.03,562.03,553.67,-1.46%
8-Apr-24,561.85,561.85,561.85,553.81,1.68%
5-Apr-24,552.59,552.59,552.59,543.82,1.65%
4-Apr-24,543.63,559.65,559.65,543.63,-2.82%
3-Apr-24,559.4,559.93,559.93,559.4,-0.09%
2-Apr-24,559.91,559.91,559.91,551.75,1.48%
1-Apr-24,551.74,551.74,551.74,550.33,0.40%
29-Mar-24,549.56,549.56,549.56,549.56,0.02%
28-Mar-24,549.46,573.02,573.02,549.46,-4.00%
27-Mar-24,572.36,572.36,572.36,550.92,3.95%
26-Mar-24,550.6,550.6,550.6,542.92,1.40%
25-Mar-24,543.01,543.01,543.01,531.06,2.41%
22-Mar-24,530.22,530.61,530.61,530.22,-0.08%
21-Mar-24,530.63,537.52,537.52,530.63,-1.28%
20-Mar-24,537.49,538.14,538.14,537.49,1.68%
19-Mar-24,528.62,566.87,566.87,528.62,-6.82%
18-Mar-24,567.29,588.89,588.89,567.29,-3.67%
15-Mar-24,588.89,588.89,588.89,581.65,1.07%
14-Mar-24,582.63,582.63,582.63,577.74,0.80%
13-Mar-24,578.03,578.03,578.03,575.48,0.33%
12-Mar-24,576.12,576.12,576.12,559.6,2.88%
11-Mar-24,560,560,560,544.53,2.88%
8-Mar-24,544.3,544.3,544.3,539.47,0.96%
7-Mar-24,539.12,568.36,568.36,539.12,-5.14%
6-Mar-24,568.32,573.19,573.19,568.32,-0.69%
